"site","x","y","dfs","alt","slo","flo","pH","har","pho","nit","amm","oxy","bod"
1,85.678,20,0.3,934,48,0.84,7.9,45,0.01,0.2,0,12.2,2.7
2,84.955,20.1,2.2,932,3,1,8,40,0.02,0.2,0.1,10.3,1.9
3,92.301,23.796,10.2,914,3.7,1.8,8.3,52,0.05,0.22,0.05,10.5,3.5
4,91.28,26.431,18.5,854,3.2,2.53,8,72,0.1,0.21,0,11,1.3
5,92.005,29.163,21.5,849,2.3,2.64,8.1,84,0.38,0.52,0.2,8,6.2
6,95.954,36.315,32.4,846,3.2,2.86,7.9,60,0.2,0.15,0,10.2,5.3
7,98.201,38.799,36.8,841,6.6,4,8.1,88,0.07,0.15,0,11.1,2.2
8,99.455,46.406,49.1,792,2.5,1.3,8.1,94,0.2,0.41,0.12,7,8.1
9,109.782,55.865,70.5,752,1.2,4.8,8,90,0.3,0.82,0.12,7.2,5.2
10,130.641,66.576,99,617,9.9,10,7.7,82,0.06,0.75,0.01,10,4.3
11,142.748,81.258,123.4,483,4.1,19.9,8.1,96,0.3,1.6,0,11.5,2.7
12,147.27,85.839,132.4,477,1.6,20,7.9,86,0.04,0.5,0,12.2,3
13,156.817,89.516,143.6,450,2.1,21.1,8.1,98,0.06,0.52,0,12.4,2.4
14,159.435,92.791,152.2,434,1.2,21.2,8.3,98,0.27,1.23,0,12.3,3.8
15,150.82,91.084,164.5,415,0.5,23,8.6,86,0.4,1,0,11.7,2.1
16,132.662,87.956,185.9,375,2,16.1,8,88,0.2,2,0.05,10.3,2.7
17,128.298,93.918,198.5,349,0.5,24.3,8,92,0.2,2.5,0.2,10.2,4.6
18,130.56,102.446,211,333,0.8,25,8,90,0.5,2.2,0.2,10.3,2.8
19,128.459,105.428,224.6,310,0.5,25.9,8.1,84,0.6,2.2,0.15,10.6,3.3
20,114.862,103.129,247.7,286,0.8,26.8,8,86,0.3,3,0.3,10.3,2.8
21,97.163,90.245,282.1,262,1,27.2,7.9,85,0.2,2.2,0.1,9,4.1
22,88.2,86.373,294,254,1.4,27.9,8.1,88,0.2,1.62,0.07,9.1,4.8
23,79.596,83.508,304.3,246,1.2,28.8,8.1,97,2.6,3.5,1.15,6.3,16.4
24,74.753,78.734,314.7,241,0.3,29.76,8,99,1.4,2.5,0.6,5.2,12.3
25,67.146,74.683,327.8,231,0.5,38.7,7.9,100,4.22,6.2,1.8,4.1,16.7
26,53.77,71.598,356.9,214,0.5,39.1,7.9,94,1.43,3,0.3,6.2,8.9
27,43.637,68.673,373.2,206,1.2,39.6,8.1,90,0.58,3,0.26,7.2,6.3
28,30.514,61.166,394.7,195,0.3,43.2,8.3,100,0.74,4,0.3,8.1,4.5
29,20.495,43.848,422,183,0.6,67.7,7.8,110,0.45,1.62,0.1,9,4.2
30,0,41.562,453,172,0.2,69,8.2,109,0.65,1.6,0.1,8.2,4.4
