"site","y","x","summerMean","summerMax","winterMean","winterMin","augChl","febChl"
1,-28.9845,16.72429,13,18.72,11.75,9.81,11.07,8.88
2,-29.38053,16.94238,13.38,18.62,11.58,9.74,8.76,8.4
3,-29.83253,17.08194,13.36,17.86,11.29,9.62,8.36,6.72
4,-30.26426,17.25928,13.29,17.12,11.13,9.57,4.16,3.73
5,-30.67874,17.47638,12.81,16.38,11.23,9.62,8.77,8.79
6,-31.0858,17.72167,12.4,15.97,11.5,9.76,7.59,9.16
7,-31.46252,18.00426,12.74,16.42,11.86,9.94,10.7,7.98
8,-31.84555,18.24793,13.72,18.03,12.3,10.16,10.18,9.94
9,-32.30197,18.3444,13.4,18.99,12.7,10.42,3.73,11.57
10,-32.7242,18.19559,16.81,20.83,13.5,11.05,7.42,9.75
11,-32.83238,17.85142,12.53,17.23,13.48,11.14,7.53,6.77
12,-33.02889,18.03498,19.19,21.59,13.61,11.24,2.29,8.28
13,-33.1548,18.00579,16.99,20.01,13.55,11.22,5.25,8.2
14,-33.50368,18.31646,12.79,17.41,13.34,11.03,5.19,7.29
15,-33.90813,18.46779,14.85,18.37,13.24,10.89,7.04,9.97
16,-34.21088,18.3682,15.1,19.91,13.84,11.3,1.19,2.18
17,-34.11221,18.46665,18.8,21.97,13.62,11.15,5.45,10.41
18,-34.1898,18.81859,18.43,22.9,14.01,11.63,4.33,9.25
19,-34.35367,19.06788,15.38,20.04,14.42,12.2,4.61,6.05
20,-34.59395,19.33624,16.43,20.99,14.96,12.75,3.19,5.07
21,-34.786,19.65776,18.08,22.63,15.11,13.05,1.55,2.67
22,-34.74958,20.07208,19.62,23.72,15.05,13.07,2.43,3.48
23,-34.49243,20.47732,20.76,24.26,14.8,12.74,3.69,2.86
24,-34.3881,20.87056,21.5,24.84,14.7,12.58,5.46,6.92
25,-34.4248,21.35563,20.75,24.35,14.78,12.68,4.62,3.5
26,-34.38157,21.82968,20.12,23.34,15.08,12.69,3.07,3.4
27,-34.15734,22.11571,22.17,25.11,15.31,12.25,4.76,5.11
28,-34.01308,22.53969,23,26.32,15.21,12.1,4.84,4.4
29,-34.07989,23.01642,20.18,25.58,15.16,12.4,3.63,6.16
30,-34.10201,23.35867,17.61,23.96,15.38,12.72,2.53,5.45
31,-34.00998,23.78027,18.38,23.67,15.77,13.08,2.96,6.64
32,-34.08458,24.26944,18.34,21.98,16.03,13.94,6.42,6.6
33,-34.18988,24.73894,19.27,22.19,16.08,14.47,2.18,4.36
34,-33.9713,25.03553,23.51,22.35,16.22,14.32,4.31,6.18
35,-34.03581,25.51952,19.17,22.27,16.31,14.49,2.04,3.34
36,-33.79133,25.69996,22.59,24.55,16.12,14.3,2.66,4.37
37,-33.72051,26.17661,20.59,23.54,16.24,14.53,2.29,5.58
38,-33.70001,26.64813,18.57,22.19,16.4,14.76,2.1,4.85
39,-33.52269,27.10371,17.92,22.54,16.39,14.61,2.85,3.9
40,-33.26662,27.51706,19.18,23.39,16.55,14.42,2.29,4.52
41,-33.01227,27.92591,18.53,23.37,17.23,14.61,1.82,3.67
42,-32.73128,28.30072,18.61,23.2,17.55,14.9,1.8,3.21
43,-32.43986,28.68348,19.46,24,17.69,15.3,1.95,2.62
44,-32.1137,29.04811,20.68,24.93,17.99,15.83,1.65,2.84
45,-31.76221,29.37234,21.93,25.65,18.54,16.45,1.6,3.11
46,-31.46446,29.74337,22.64,25.95,19.1,17.04,1.94,2.1
47,-31.17581,30.12123,22.75,25.77,19.53,17.46,1.4,1.19
48,-30.80858,30.4116,22.91,26.03,19.42,17.29,1.6,1.13
49,-30.41392,30.67698,24.27,26.58,20.05,17.65,1.58,1.96
50,-30.01205,30.93173,24.23,26.52,20.26,18.15,1.42,1.41
51,-29.62306,31.14903,24.22,26.78,20.22,18.19,1.4,1.45
52,-29.26026,31.46025,24.12,25.95,19.96,18.08,2.86,2.63
53,-28.94383,31.81668,24.28,26.02,19.91,18.24,4.39,4.69
54,-28.69975,32.2117,24.53,26.35,20.19,18.65,2.27,1.69
55,-28.31805,32.46202,25.22,27.09,20.81,19.36,0.6,0.54
56,-27.86866,32.58902,26.23,28.09,21.62,20.21,0.48,0.35
57,-27.41544,32.71765,27.33,29.09,22.36,20.98,0.58,0.32
58,-26.97485,32.87288,28.46,29.96,22.88,21.54,0.74,0.42
